,date,cases,x,y
0,2020-03-02,1,0,1
1,2020-03-06,1,1,2
2,2020-03-07,1,2,3
3,2020-03-08,2,3,5
4,2020-03-09,3,4,8
5,2020-03-10,4,5,12
6,2020-03-11,8,6,20
7,2020-03-12,11,7,31
8,2020-03-13,13,8,44
9,2020-03-14,20,9,64
10,2020-03-15,19,10,83
11,2020-03-16,29,11,112
12,2020-03-17,42,12,154
13,2020-03-18,44,13,198
14,2020-03-19,69,14,267
15,2020-03-20,78,15,345
16,2020-03-21,79,16,424
17,2020-03-22,81,17,505
18,2020-03-23,94,18,599
19,2020-03-24,141,19,740
20,2020-03-25,163,20,903
21,2020-03-26,159,21,1062
22,2020-03-27,159,22,1221
23,2020-03-28,166,23,1387
24,2020-03-29,138,24,1525
25,2020-03-30,194,25,1719
26,2020-03-31,191,26,1910
27,2020-04-01,195,27,2105
28,2020-04-02,166,28,2271
29,2020-04-03,185,29,2456
30,2020-04-04,159,30,2615
31,2020-04-05,100,31,2715
32,2020-04-06,149,32,2864
33,2020-04-07,153,33,3017
34,2020-04-08,125,34,3142
35,2020-04-09,140,35,3282
36,2020-04-10,121,36,3403
37,2020-04-11,249,37,3652
38,2020-04-12,156,38,3808
39,2020-04-13,183,39,3991
40,2020-04-14,235,40,4226
41,2020-04-15,164,41,4390
42,2020-04-16,253,42,4643
43,2020-04-17,176,43,4819
44,2020-04-18,202,44,5021
45,2020-04-19,219,45,5240
46,2020-04-20,212,46,5452
47,2020-04-21,218,47,5670
48,2020-04-22,243,48,5913
49,2020-04-23,297,49,6210
50,2020-04-24,303,50,6513
51,2020-04-25,305,51,6818
52,2020-04-26,251,52,7069
53,2020-04-27,404,53,7473
54,2020-04-28,509,54,7982
55,2020-04-29,368,55,8350
56,2020-04-30,471,56,8821
57,2020-05-01,458,57,9279
58,2020-05-02,461,58,9740
59,2020-05-03,390,59,10130
60,2020-05-04,502,60,10632
61,2020-05-05,779,61,11411
62,2020-05-06,735,62,12146
63,2020-05-07,745,63,12891
64,2020-05-08,940,64,13831
65,2020-05-09,733,65,14564
66,2020-05-10,453,66,15017
67,2020-05-11,713,67,15730
68,2020-05-12,813,68,16543
69,2020-05-13,835,69,17378
70,2020-05-14,1051,70,18429
71,2020-05-15,964,71,19393
72,2020-05-16,896,72,20289
73,2020-05-17,830,73,21119
74,2020-05-18,1181,74,22300
75,2020-05-19,1144,75,23444
76,2020-05-20,1332,76,24776
77,2020-05-21,1315,77,26091
78,2020-05-22,1394,78,27485
79,2020-05-23,1408,79,28893
80,2020-05-24,893,80,29786
81,2020-05-25,1152,81,30938
82,2020-05-26,1465,82,32403
83,2020-05-27,1350,83,33753
84,2020-05-28,1378,84,35131
85,2020-05-29,1388,85,36519
86,2020-05-30,1288,86,37807
87,2020-05-31,1024,87,38831
88,2020-06-01,1708,88,40539
89,2020-06-02,1608,89,42147
90,2020-06-03,1850,90,43997
91,2020-06-04,1741,91,45738
92,2020-06-05,1965,92,47703
93,2020-06-06,1758,93,49461
94,2020-06-07,1419,94,50880
95,2020-06-08,2462,95,53342
96,2020-06-09,2296,96,55638
97,2020-06-10,2657,97,58295
98,2020-06-11,2757,98,61052
99,2020-06-12,2682,99,63734
100,2020-06-13,2219,100,65953
101,2020-06-14,1493,101,67446
102,2020-06-15,1703,102,69149
103,2020-06-16,3309,103,72458
104,2020-06-17,3373,104,75831
105,2020-06-18,3454,105,79285
106,2020-06-19,3367,106,82652
107,2020-06-20,2760,107,85412
108,2020-06-21,2034,108,87446
109,2020-06-22,2016,109,89462
110,2020-06-23,3502,110,92964
111,2020-06-24,2803,111,95767
112,2020-06-25,2289,112,98056
113,2020-06-26,1806,113,99862
114,2020-06-27,1017,114,100879
115,2020-06-28,488,115,101367
116,2020-06-29,370,116,101737
117,2020-06-30,262,117,101999
118,2020-07-01,9,118,102008
119,2020-07-29,1,119,102009
