,x,y,growth_factor,date
0,0.0,-1055.4962238351982,0.0,2020-03-02
1,1.0,-836.0887270818596,0.7921285819895115,2020-03-03
2,2.0,-630.8397445318503,0.7545129172278461,2020-03-04
3,3.0,-439.0468133519753,0.6959720232557547,2020-03-05
4,4.0,-260.007470709039,0.5922089918475187,2020-03-06
5,5.0,-93.01925376984639,0.3577560810702222,2020-03-07
6,6.0,62.620300298798156,-0.6731971904842079,2020-03-08
7,7.0,207.61365433008973,3.315436900485039,2020-03-09
8,8.0,342.66327115722356,1.6504852354865607,2020-03-10
9,9.0,468.471613613395,1.367148606360111,2020-03-11
10,10.0,585.7411445317991,1.2503236642533917,2020-03-12
11,11.0,695.1743267456316,1.1868285730573114,2020-03-13
12,12.0,797.4736230880876,1.1471563209495335,2020-03-14
13,13.0,893.3414963923624,1.120214475474489,2020-03-15
14,14.0,983.480409491651,1.10090084638775,2020-03-16
15,15.0,1068.5928252191488,1.0865420550384846,2020-03-17
16,16.0,1149.3812064080516,1.0756025862070846,2020-03-18
17,17.0,1226.5480158915543,1.0671376990099375,2020-03-19
18,18.0,1300.795716502852,1.060533872012608,2020-03-20
19,19.0,1372.8267710751397,1.0553746092937182,2020-03-21
20,20.0,1443.3436424416132,1.0513661831574332,2020-03-22
21,21.0,1513.0487934354683,1.0482942169447182,2020-03-23
22,22.0,1582.6446868898993,1.045997124320366,2020-03-24
23,23.0,1652.8337856381022,1.0443492461255681,2020-03-25
24,24.0,1724.3185525132712,1.0432498219096915,2020-03-26
25,25.0,1797.8014503486033,1.0426156163130227,2020-03-27
26,26.0,1873.9849419772918,1.0423759206634948,2020-03-28
27,27.0,1953.5714902325344,1.0424691503504124,2020-03-29
28,28.0,2037.2635579475236,1.042840545192962,2020-03-30
29,29.0,2125.7636079554572,1.0434406484436871,2020-03-31
30,30.0,2219.7741030895286,1.0442243412119045,2020-04-01
31,31.0,2319.997506182934,1.0451502713514462,2020-04-02
32,32.0,2427.1362800688685,1.0461805556257724,2020-04-03
33,33.0,2541.8928875805273,1.0472806609394025,2020-04-04
34,34.0,2664.969791551106,1.0484193903574466,2020-04-05
35,35.0,2797.0694548137994,1.0495689158209207,2020-04-06
36,36.0,2938.894340201804,1.0507048136198125,2020-04-07
37,37.0,3091.146910548314,1.0518060715092108,2020-04-08
38,38.0,3254.529628686524,1.0528550479372814,2020-04-09
39,39.0,3429.7449574496295,1.053837373984461,2020-04-10
40,40.0,3617.4953596708274,1.0547417969996258,2020-04-11
41,41.0,3818.4832981833133,1.0555599713418222,2020-04-12
42,42.0,4033.411235820279,1.056286206028247,2020-04-13
43,43.0,4262.9816354149225,1.056917181554872,2020-04-14
44,44.0,4507.896959800439,1.0574516489470351,2020-04-15
45,45.0,4768.859671810023,1.0578901235624376,2020-04-16
46,46.0,5046.572234276871,1.0582345846971508,2020-04-17
47,47.0,5341.737110034176,1.0584881900139094,2020-04-18
48,48.0,5655.056761915135,1.0586550115490343,2020-04-19
49,49.0,5987.233652752942,1.058739797816868,2020-04-20
50,50.0,6338.970245380797,1.058747764498238,2020-04-21
51,51.0,6710.9690026318885,1.0586844144791763,2020-04-22
52,52.0,7103.932387339415,1.058555386644375,2020-04-23
53,53.0,7518.562862336572,1.0583663318271594,2020-04-24
54,54.0,7955.562890456555,1.0581228136442253,2020-04-25
55,55.0,8415.634934532558,1.0578302315512964,2020-04-26
56,56.0,8899.481457397776,1.057493763290493,2020-04-27
57,57.0,9407.804921885407,1.05711832390696,2020-04-28
58,58.0,9941.307790828645,1.056708538641373,2020-04-29
59,59.0,10500.692527060683,1.0562687272139484,2020-04-30
60,60.0,11086.661593414718,1.0558028972702487,2020-05-01
61,61.0,11699.917452723945,1.055314745033211,2020-05-02
62,62.0,12341.162567821562,1.0548076614804085,2020-05-03
63,63.0,13011.09940154076,1.0542847426275703,2020-05-04
64,64.0,13710.430416714737,1.0537488027407709,2020-05-05
65,65.0,14439.858076176686,1.0532023895159912,2020-05-06
66,66.0,15200.084842759805,1.0526478004543107,2020-05-07
67,67.0,15991.813179297293,1.0520870998239598,2020-05-08
68,68.0,16815.74554862233,1.0515221357382842,2020-05-09
69,69.0,17672.58441356813,1.0509545569935195,2020-05-10
70,70.0,18563.032236967872,1.0503858294045607,2020-05-11
71,71.0,19487.791481654767,1.0498172514534159,2020-05-12
72,72.0,20447.564610462,1.0492499691260928,2020-05-13
73,73.0,21443.05408622277,1.0486849898618944,2020-05-14
74,74.0,22474.96237177027,1.048123195576441,2020-05-15
75,75.0,23543.991929937696,1.0475653547482768,2020-05-16
76,76.0,24650.84522355824,1.0470121335801645,2020-05-17
77,77.0,25796.22471546511,1.0464641062616489,2020-05-18
78,78.0,26980.832868491485,1.0459217643702798,2020-05-19
